,Year,area,measurement
1,1986,State Landings,2201007
2,1987,State Landings,3791748
3,1988,State Landings,2192095
4,1989,State Landings,1857754
5,1990,State Landings,2250475
6,1991,State Landings,1917655
7,1992,State Landings,2628142
8,1993,State Landings,2788595
9,1994,State Landings,2110112
10,1995,State Landings,1512545
11,1996,State Landings,1447417
12,1997,State Landings,1898939
13,1998,State Landings,1532785
14,1999,State Landings,2331718
15,2000,State Landings,2570230
16,2001,State Landings,2582715
17,2002,State Landings,1935435
18,2003,State Landings,1734664
19,2004,State Landings,1670528
20,2005,State Landings,1455028
21,2006,State Landings,2444883
22,2007,State Landings,3028175
23,2008,State Landings,2562153
24,2009,State Landings,2915429
25,2010,State Landings,2210328
26,2011,State Landings,3179210
27,2012,State Landings,3408904
28,2013,State Landings,1290470
29,2014,State Landings,753797
30,2015,State Landings,846441
31,2016,State Landings,881813
32,2017,State Landings,823396
33,2018,State Landings,525572
34,2019,State Landings,46005
35,1986,State Trips,18435
36,1987,State Trips,52592
37,1988,State Trips,45588
38,1989,State Trips,38567
39,1990,State Trips,41546
40,1991,State Trips,35294
41,1992,State Trips,38618
42,1993,State Trips,33505
43,1994,State Trips,24540
44,1995,State Trips,18587
45,1996,State Trips,15853
46,1997,State Trips,21204
47,1998,State Trips,18569
48,1999,State Trips,27376
49,2000,State Trips,28762
50,2001,State Trips,28566
51,2002,State Trips,23200
52,2003,State Trips,22297
53,2004,State Trips,20272
54,2005,State Trips,15072
55,2006,State Trips,26397
56,2007,State Trips,33198
57,2008,State Trips,31605
58,2009,State Trips,42984
59,2010,State Trips,36086
60,2011,State Trips,51358
61,2012,State Trips,59344
62,2013,State Trips,29984
63,2014,State Trips,21894
64,2015,State Trips,24899
65,2016,State Trips,25711
66,2017,State Trips,24590
67,2018,State Trips,11881
68,2019,State Trips,884
69,1986,State Per Trips,119.3928397
70,1987,State Per Trips,72.09742927
71,1988,State Per Trips,48.0849127
72,1989,State Per Trips,48.16952317
73,1990,State Per Trips,54.16827131
74,1991,State Per Trips,54.33373945
75,1992,State Per Trips,68.05484489
